Afrikaans - South Africa,af-ZA,209,0436:00000409
Chinese (Simplified) - China,zh-CN,45,0804:{81D4E9C9-1D3B-41BC-9E6C-4B40BF79E35E}{FA550B04-5AD7-411F-A5AC-CA038EC515D7}
Dutch - Netherlands,nl-NL,176,0413:00020409
English - Australia,en-AU,12,0C09:00000409
English - India,en-IN,113,4009:00004009
English - South Africa,en-ZA,209,1C09:00000409
English - United Kingdom,en-GB,242,0809:00000809
English - United States,en-US,244,0409:00000409
Finnish - Finland,fi-FI,77,040B:0000040B
French - France,fr-FR,84,040C:0000040C
German - Austria,de-AT,14,0C07:00000407
German - Germany,de-DE,94,0407:00000407
Italian - Italy,it-IT,118,0410:00000410
Japanese - Japan,ja-JP,122,0411:{03B5835F-F03C-411B-9CE2-AA23E1171E36}{A76C93D9-5523-4E90-AAFA-4DB112F9AC76}
Serbian (Latin) - Serbia,sr-Latn-RS,271,241A:0000081A
Spanish - Spain,es-ES,217,0C0A:0000040A
